Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,71.09,72.03,70.4,71.97,71.97,1983500
2019-04-02,71.89,72.49,71.45,72.01,72.01,1983200
2019-04-03,71.7,72.21,71.22,72.14,72.14,1400100
2019-04-04,72.2,72.85,71.82,72.65,72.65,1845900
2019-04-05,72.55,72.74,71.76,72.31,72.31,933700
2019-04-08,72.33,72.54,71.59,72.36,72.36,1127000
2019-04-09,72.35,73.1,72.2,73.01,73.01,1168700
2019-04-10,73.3,73.63,72.78,73.22,73.22,976900
2019-04-11,73.29,73.72,72.82,73.7,73.7,1114100
2019-04-12,73.51,74.14,73.32,73.89,73.89,710500
